Report,Weather,Surface Condition,Light
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,V,DARK -- UNKNOWN LIGHTING
1,N/A,DRY,DUSK
1,OTHER,WET,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,V,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,SEVERE WINDS,ICE,DARK NO LIGHTS
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DUSK
1,CLEAR,DRY,DAYLIGHT
1,SNOW,SNOW,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,RAINING,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DARK NO LIGHTS
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK NO LIGHTS
1,CLEAR,DRY,DARK LIGHTS ON
1,CLOUDY,V,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,RAINING,WET,DUSK
1,CLEAR,DRY,DARK NO LIGHTS
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,SNOW,ICE,DAYLIGHT
1,CLEAR,V,N/A
1,CLEAR,V,DARK LIGHTS ON
1,CLOUDY,WET,DARK LIGHTS ON
1,FOGGY,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,V,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLOUDY,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLOUDY,WET,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,N/A,DAYLIGHT
1,CLEAR,DRY,DARK NO LIGHTS
1,RAINING,V,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,N/A,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,N/A
1,CLEAR,DRY,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,WET,DAYLIGHT
1,CLEAR,WET,DARK -- UNKNOWN LIGHTING
1,CLOUDY,WET,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
